7,4321,-,Cosa sarebbe stato della nostra vita se invece di quella scelta ne avessimo fatta un'altra? Che persone saremmo oggi se quel giorno non avessimo perso il treno__ se avessimo risposto al saluto di quella ragazza__ se ci fossimo iscritti a quell'altra scuola__ se... Ogni vita nasconde__ e protegge__ dentro di sé tutte le altre che non si sono realizzate__ che sono rimaste solo potenziali. E cosi ogni individuo conserva al suo interno__ come clandestini su una nave di notte__ le ombre di tutte le altre persone che sarebbe potuto diventare. La letteratura__ e il romanzo in particolare__ ha da sempre esplorato la «vita virtuale»: non la vita dei computer__ ma i destini alternativi a quelli che il caso o la storia hanno deciso__ quasi che attraverso la lettura si riesca a fare esperienza di esistenze alternative. Paul Auster ha deciso di prendere alla lettera questo compito che la letteratura si è data: e ha scritto "4321"__ il romanzo di tutte le vite di Archie Ferguson__ quella che ha avuto e quelle che avrebbe potuto avere. Fin dalla nascita Archie imbocca quattro sentieri diversi che porteranno a vite diverse e singolarmente simili__ con elementi che ritornano ogni volta in una veste diversa: tutti gli Archie__ ad esempio__ subiranno l'incantesimo della splendida Amy. Auster racconta le quattro vite possibili di Archie in parallelo__ come fossero quattro libri in uno__ costruendo un'opera monumentale__ dal fascino vertiginoso e dal passo dickensiano__ per il brulicare di vita e di personaggi. Ma c'è molto altro in "4321". C'è la scoperta del sesso e della poesia__ ci sono le proteste per i diritti civili e l'assassinio di Kennedy__ c'è lo sport e il Sessantotto__ c'è Parigi e c'è New York__ c'è tutta l'opera di Auster__ come un grande bilancio della maturità__ e ci sono tutti i maestri che l'hanno ispirato__ c'è il fato e la fatalità__ c'è la morte e il desiderio.,[12],2019,8,978-8806238995,3,local=4321.jpg,[17],Paper Book
8,4321 (ePub),-,A volte per raccontare una vita non basta una sola storia. Il 3 marzo 1947__ a Newark__ nasce il primo e unico figlio di Rose e Stanley: Archie Ferguson. Da questo punto si dipanano quattro sentieri__ le quattro vite possibili__ eppure reali__ di Archie. Campione dello sport o inquieto giornalista__ attivista o scrittore vagabondo__ le sue traiettorie sono diverse ma tutte__ misteriosamente__ incrociano lei__ Amy.,[12],2017,8,B0761XMJ5N,1,local=4321.jpg,[17],ePub
34,Anelli nell'io,-,Nel 1979__ un giovane esperto di intelligenza artificiale sorprese il mondo con un libro di enorme mole__ labirintico__ geniale e di immenso successo. Il libro era "Gödel__ Escher e Bach" e il suo autore Douglas Hofstadter. Attraverso logica matematica__ musica__ paradossi grafici e linguistici__ Hofstadter cercava di dare sostanza a un'intuizione che sembrava scandalosa: la mente umana potrebbe non essere altro che un computer__ i neuroni dei semplici chip__ l'intelligenza mera capacità di eseguire i programmi scritti nel cervello. A quasi trent'anni di distanza__ molte cose sono cambiate: i computer non occupano più gli scantinati delle università ma sono in tutte le case e in tutte le tasche__ e gli studi sul cervello hanno raggiunto un grado di raffinatezza quasi inimmaginabile. Eppure__ resta intatto l'ultimo mistero: dove si trova e come è fatta l'anima? Cos'è che chiamiamo "io" quando parliamo con noi stessi? Cosa resta di noi (se resta qualcosa) dopo la nostra morte fisica? Nel libro di Hofstadter troviamo tutta la sua abilità di divulgatore__ capace di spaziare dalla letteratura all'informatica__ dai giochi di parole ai dibattiti più attuali della filosofia__ dagli esempi più curiosi agli esperimenti mentali più originali e vividi.,[24],2010,7,978-8804595724,2,local=anelli.jpg,[10],Paper Book
36,Casa di foglie,-,La storia ruota intorno a un misterioso manoscritto rinvenuto in un baule dopo la morte del suo estensore__ l'anziano Zampanò__ e consiste nell'esplorazione di un film di culto girato nella casa stregata di Ash Tree Lane in cui viveva la famiglia del regista__ Will Navidson__ premio Pulitzer per la fotografia__ che finirà per svelare un abisso senza fine__ spalancato su una tenebra senziente e ferina__ capace di inghiottire chiunque osi disturbarla.,[25],2019,18,978-8832970944,1,local=9788832970944_0_0_626_75.jpg,[1],Paper Book
21,Cinquanta sfumature di grigio,-,Quando Anastasia Steele__ graziosa e ingenua studentessa americana di ventun anni incontra Christian Grey__ giovane imprenditore miliardario__ si accorge di essere attratta irresistibilmente da quest'uomo bellissimo e misterioso. Convinta però che il loro incontro non avrà mai un futuro__ prova in tutti i modi a smettere di pensarci__ fino al giorno in cui Grey non compare improvvisamente nel negozio dove lei lavora e la invita a uscire con lui. Anastasia capisce di volere quest'uomo a tutti i costi. Anche lui è incapace di resisterle e deve ammettere con se stesso di desiderarla__ ma alle sue condizioni. Travolta dalla passione__ presto Anastasia scoprirà che Grey è un uomo tormentato dai suoi demoni e consumato dall'ossessivo bisogno di controllo__ ma soprattutto ha gusti erotici decisamente singolari e predilige pratiche sessuali insospettabili... Nello scoprire l'animo enigmatico di Grey__ Ana conoscerà per la prima volta i suoi più segreti desideri.,[16],2020,7,978-8804648895,1,local=50_sfumature.jpg,[2;20;1],Paper Book
4,Design Patterns,Elements of Reusable Object Oriented Software,Capturing a wealth of experience about the design of object-oriented software__ four top-notch designers present a catalog of simple and succinct solutions to commonly occurring design problems. Previously undocumented__ these 23 patterns allow designers to create more flexible__ elegant__ and ultimately reusable designs without having to rediscover the design solutions themselves.,[6;11;7;10;9],1994,4,978-93-325-5540-2,2,local=designpatterns.jpg,[3;21],Audiobook
29,Fiori per Algernon,-,Algernon è un topo__ ma non è un topo qualunque. Con un'audace operazione__ uno scienziato ha triplicato il suo IQ__ rendendolo forse più intelligente di alcuni esseri umani. Di certo più di Charlie Gordon che__ fino all'età di trentadue anni__ ha vissuto nella dolorosa consapevolezza di non essere molto... sveglio. Ma cosa succede quando quella stessa operazione viene effettuata su Charlie? Il diario di un uomo che "voleva soltanto essere come gli altri".,[17],2016,14,978-8850241910,3,local=fiori_per_algernon.jpg,[2],Paper Book
35,Gödel__ Escher__ Bach,Un'eterna ghirlanda brillante,l tema centrale del libro è più astratto. Hofstadter si chiede: «Le parole e i pensieri seguono regole formali o no?»[6][7]. Nella prefazione all'edizione del ventesimo anniversario__ Hofstadter si lamenta di come il suo libro sia stato frainteso e visto come un guazzabuglio di idee simpatiche ma privo di tema centrale ed ha affermato: «GEB è un tentativo molto personale di mostrare come entità animate possano derivare da materia inanimata. Che cosa è l'"io"__ come una personalità possa fuoriuscire anche dalle cose talmente spersonalizzate come una pietra o il fango?»,[24],1990,12,978-8845907555,2,local=godel.jpg,[3;10;11],Paper Book
1,IT,-,Nell'estate del 1989 un gruppo di bambini vittime di bullismo si uniscono per distruggere un mostro mutevole che si maschera da clown e preda dei bambini di Derry__ la loro piccola città del Maine.,[1],1989,7,0-325-156532-7,3,local=it.jpg,[1],Paper Book
30,Il buio oltre la siepe,-,In una cittadina del "profondo" Sud degli Stati Uniti l'onesto avvocato Atticus Finch è incaricato della difesa d'ufficio di un "negro" accusato di violenza carnale; riuscirà a dimostrarne l'innocenza__ ma l'uomo sarà ugualmente condannato a morte. La vicenda__ che è solo l'episodio centrale del romanzo__ è raccontata dalla piccola Scout__ la figlia di Atticus__ un Huckleberry in gonnella__ che scandalizza le signore con un linguaggio non proprio ortodosso__ testimone e protagonista di fatti che nella loro atrocità e violenza non riescono mai a essere più grandi di lei. Nel suo raccontare lieve e veloce__ ironico e pietoso__ rivive il mondo dell'infanzia che è un po' di tutti noi__ con i suoi miti__ le sue emozioni__ le sue scoperte.,[22],2013,16,978-8807881558,1,local=il_buio.jpg,[17],Paper Book
